0.5	0.8
-0.20155462039187366	-0.19658779783221969
-9.9183482725983601e-09	-1.8979442500467778e-09
0.5102087642754134	0.51047390984231467
-0.14429386929855464	-0.14039755643549673
0.27625531802756692	0.27449043110107635
8.7634786006880164e-10	8.0605755142431253e-11
0.00019400912484492875	2.6016573940228553e-06
-
-0.086478811032810132	-0.074172404991319593
0.49425689283834817	0.48477930733860136
-7.4930791355367675e-10	-6.1205590751693135e-09
-0.0030688661658243178	-9.5574485922906706e-05
-1.0858940890185479e-11	-7.0316677660669165e-11
1.6289517170672707e-10	1.5048743460052588e-09
0.16713917315235158	0.15110561443882917
-
[[ 647.33401053]]	[[ 647.39652497]]
[[ 1.13250659  0.75094374]]	[[ 1.1219523   0.71015291]]
