ari,rmse_all,rmse_2f
1.0,0.58595058883516615,0.61523304688656144
1.0,0.57533169216893798,0.61523304688656144
1.0,0.58595058883516626,0.61523304688656144
1.0,0.57533169216893798,0.61523304688656144
1.0,0.57533169216893831,0.61523304688656155
1.0,0.58056553882676321,0.615233046886561
1.0,0.5859505888351656,0.61523304688656133
1.0,0.57533169216893787,0.61523304688656155
1.0,0.57533169216893809,0.61523304688656155
1.0,0.57533169216893842,0.61523304688656155
1.0,0.5859505888351656,0.61523304688656133
1.0,0.58595058883516549,0.61523304688656144
1.0,0.57533169216893831,0.61523304688656144
1.0,0.58595058883516538,0.61523304688656155
1.0,0.5859505888351656,0.61523304688656133
1.0,0.58056553882676265,0.61523304688656111
1.0,0.58056553882676298,0.61523304688656089
1.0,0.58056553882676254,0.615233046886561
1.0,0.58056553882676298,0.61523304688656089
1.0,0.58056553882676254,0.61523304688656122
1.0,0.58056553882676276,0.615233046886561
1.0,0.57533169216893842,0.61523304688656155
1.0,0.57533169216893865,0.61523304688656155
1.0,0.57533169216893842,0.61523304688656144
1.0,0.58056553882676254,0.61523304688656089
1.0,0.58056553882676265,0.615233046886561
1.0,0.58595058883516593,0.61523304688656144
1.0,0.57533169216893831,0.61523304688656144
1.0,0.58056553882676287,0.61523304688656089
